"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Crd Note",1,"NT0001","00000832","14.3","14KG LPG REFILL","14K","LPG","","00006270","10/02/2020",-1.00,245.2200,188.6958,"ERRO ON #6270","001","LOUIS","01","",0.0000,0.0000,1,36.79,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"COUNTER SALES","NTOZONKE NEW","","","",""
"Crd Note",1,"BU0002","00000843","14.3","14KG LPG REFILL","14K","LPG","","00006431","01/04/2020",-6.00,239.1300,188.6958,"","002","LOUIS","01","",0.0000,0.0000,1,215.22,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","BULWER CASH STORE","","","",""
"Invoice",1,"BU0002","00006509","14.3","14KG LPG REFILL","14K","LPG","","","02/04/2020",10.00,199.1300,188.6958,"","002","LOUIS","01","",0.0000,0.0000,1,298.70,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","BULWER CASH STORE","","","",""
"GRV",1,"003ORY","00001242","14.3","14KG LPG REFILL","14K","LPG","","00000000","02/04/2020",-10.00,0.0000,148.6430,"20002505","","LOUIS","01","",0.0000,0.0000,1,222.97,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"SWA002","00006356","19.3","19KG LPG REFILL","19K","LPG","","","02/03/2020",3.00,330.4300,260.7128,"","002","DARREN","01","",0.0000,0.0000,1,148.69,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","SWAADISHT - NEW ACCOUNT","","","",""
"GRV",1,"003ORY","00001223","19.3","19KG LPG REFILL","19K","LPG","","00000000","02/03/2020",-11.00,0.0000,260.7127,"20001554","","DARREN","01","",0.0000,0.0000,1,430.18,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"NIP001","00006359","19.3","19KG LPG REFILL","19K","LPG","","","03/03/2020",1.00,330.4300,260.7127,"","002","DARREN","01","",0.0000,0.0000,1,49.57,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","NIP INN","","","",""
"Invoice",1,"MA0050","00006363","19.3","19KG LPG REFILL","19K","LPG","","","03/03/2020",4.00,334.7800,260.7127,"","002","DARREN","01","",0.0000,0.0000,1,200.87,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","MAYORS WALK SPAR","","","",""
"Invoice",1,"CS0035","00006366","19.3","19KG LPG REFILL","19K","LPG","","","03/03/2020",1.00,284.1700,260.7127,"","002","TANAKA","01","",0.0000,0.0000,1,42.63,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","CASH SALES","","","",""
"Invoice",1,"JIM001","00006367","19.3","19KG LPG REFILL","19K","LPG","","","04/03/2020",5.00,326.0900,260.7127,"","002","DARREN","01","",0.0000,0.0000,1,244.57,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","JIMMY'S / INVESCO","","","",""
"Invoice",1,"UC0000","00006368","19.3","19KG LPG REFILL","19K","LPG","","","04/03/2020",3.00,320.5433,260.7127,"ORDER #A65709","002","DARREN","01","",0.0000,0.0000,1,144.24,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","UCL COMPANY (PTY) LTD","","","",""
"GRV",1,"003ORY","00001224","19.3","19KG LPG REFILL","19K","LPG","","00000000","04/03/2020",-20.00,0.0000,256.0870,"20001638","","DARREN","01","",0.0000,0.0000,1,768.26,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"TH0001","00006370","19.3","19KG LPG REFILL","19K","LPG","","","05/03/2020",2.00,328.5900,256.8580,"","002","DARREN","01","",0.0000,0.0000,1,98.57,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","THUTHUKA GENERAL DEALER","","","",""
"Invoice",1,"CS0004","00006372","19.3","19KG LPG REFILL","19K","LPG","","","05/03/2020",1.00,347.8300,256.8580,"","001","TANAKA","01","",0.0000,0.0000,1,52.18,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
"GRV",1,"003ORY","00001225","19.3","19KG LPG REFILL","19K","LPG","","00000000","05/03/2020",-2.00,0.0000,256.0850,"20001662","","DARREN","01","",0.0000,0.0000,1,76.83,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"NT0001","00006375","19.3","19KG LPG REFILL","19K","LPG","","","05/03/2020",2.00,315.3900,256.7908,"","002","DARREN","01","",0.0000,0.0000,1,94.62,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","NTOZONKE NEW","","","",""
"Invoice",1,"GW0001","00006378","19.3","19KG LPG REFILL","19K","LPG","","","06/03/2020",2.00,347.8300,256.7908,"","002","DARREN","01","",0.0000,0.0000,1,104.35,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","KWA BHIDLA STORE","","","",""
"Invoice",1,"PHO001","00006380","19.3","19KG LPG REFILL","19K","LPG","","","06/03/2020",2.00,347.8300,256.7908,"","002","DARREN","01","",0.0000,0.0000,1,104.35,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","PHOLELA CLINIC","","","",""
"GRV",1,"003ORY","00001226","19.3","19KG LPG REFILL","19K","LPG","","00000000","06/03/2020",-5.00,0.0000,256.0860,"20001703","","DARREN","01","",0.0000,0.0000,1,192.07,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"JIM001","00006381","19.3","19KG LPG REFILL","19K","LPG","","","06/03/2020",2.00,326.0900,256.6306,"","002","DARREN","01","",0.0000,0.0000,1,97.83,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","JIMMY'S / INVESCO","","","",""
"Invoice",1,"SWA002","00006382","19.3","19KG LPG REFILL","19K","LPG","","","06/03/2020",4.00,330.4300,256.6306,"","002","DARREN","01","",0.0000,0.0000,1,198.26,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","SWAADISHT - NEW ACCOUNT","","","",""
"Invoice",1,"CS0035","00006383","19.3","19KG LPG REFILL","19K","LPG","","","06/03/2020",1.00,279.5500,256.6306,"","002","TANAKA","01","",0.0000,0.0000,1,41.93,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","CASH SALES","","","",""
"Invoice",1,"NT0001","00006389","19.3","19KG LPG REFILL","19K","LPG","","","09/03/2020",2.00,315.3900,256.6306,"","001","TANAKA","01","",0.0000,0.0000,1,94.62,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","NTOZONKE NEW","","","",""
"Invoice",1,"GO0001","00006391","19.3","19KG LPG REFILL","19K","LPG","","","09/03/2020",3.00,347.8267,256.6306,"","002","DARREN","01","",0.0000,0.0000,1,156.52,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","GOLDEN DRAGON","","","",""
"Invoice",1,"CS0004","00006392","19.3","19KG LPG REFILL","19K","LPG","","","09/03/2020",1.00,347.8300,256.6306,"","001","TANAKA","01","",0.0000,0.0000,1,52.17,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
"Invoice",1,"JIM001","00006394","19.3","19KG LPG REFILL","19K","LPG","","","10/03/2020",4.00,326.0875,256.6306,"","002","DARREN","01","",0.0000,0.0000,1,195.65,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","JIMMY'S / INVESCO","","","",""
"Invoice",1,"SWA002","00006395","19.3","19KG LPG REFILL","19K","LPG","","","10/03/2020",2.00,330.4350,256.6306,"","002","DARREN","01","",0.0000,0.0000,1,99.13,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","SWAADISHT - NEW ACCOUNT","","","",""
"GRV",1,"003ORY","00001227","19.3","19KG LPG REFILL","19K","LPG","","00000000","10/03/2020",-25.00,0.0000,256.0868,"20001808","","DARREN","01","",0.0000,0.0000,1,960.33,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"UC0000","00006396","19.3","19KG LPG REFILL","19K","LPG","","","11/03/2020",10.00,320.5430,256.1451,"ORDER #A65753","002","DARREN","01","",0.0000,0.0000,1,480.82,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","UCL COMPANY (PTY) LTD","","","",""
"Invoice",1,"CS0004","00006397","19.3","19KG LPG REFILL","19K","LPG","","","11/03/2020",2.00,347.8250,256.1451,"","001","DARREN","01","",0.0000,0.0000,1,104.35,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
"GRV",1,"003ORY","00001228","19.3","19KG LPG REFILL","19K","LPG","","00000000","11/03/2020",-11.00,0.0000,256.0873,"20001832","","DARREN","01","",0.0000,0.0000,1,422.54,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"CS0035","00006399","19.3","19KG LPG REFILL","19K","LPG","","","12/03/2020",2.00,279.5500,256.1216,"","002","TANAKA","01","",0.0000,0.0000,1,83.87,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","CASH SALES","","","",""
"Invoice",1,"SWA002","00006400","19.3","19KG LPG REFILL","19K","LPG","","","13/03/2020",3.00,330.4333,256.1216,"","002","DARREN","01","",0.0000,0.0000,1,148.70,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","SWAADISHT - NEW ACCOUNT","","","",""
"Invoice",1,"JIM001","00006401","19.3","19KG LPG REFILL","19K","LPG","","","13/03/2020",4.00,326.0875,256.1216,"","002","DARREN","01","",0.0000,0.0000,1,195.65,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","JIMMY'S / INVESCO","","","",""
