"ENTRY","PERIOD","ACCNO","NAME","DOCNO","INVNO","DEBORDER","ORDERNO","DEPREF","DATE","REF","AMOUNT","TAX","EXCODE","FAMOUNT","PAID"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042750","00042750","DN#13184","00011131","","03/05/2025","TANDOOR THE CLAY OVEN",1306.16,170.37,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042751","00042751","DN#13184- EMPTY","","","03/05/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Crd Note",2,"TAN002","TANDOOR THE CLAY OVEN","00012393","00042751","DN#13184- EMPTY","","","03/05/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042839","00042839","DN#12061","00011149","","06/05/2025","TANDOOR THE CLAY OVEN",2612.32,340.74,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042840","00042840","DN#12061-EMPTY","","","06/05/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",2,"TAN002","TANDOOR THE CLAY OVEN","00012426","00042840","DN#12061-EMPTY","","","06/05/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00042964","00042964","DN#13212","00011178","","09/05/2025","TANDOOR THE CLAY OVEN",1306.16,170.37,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00042965","00042965","DN#13212-EMPTY","","","10/05/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Crd Note",3,"TAN002","TANDOOR THE CLAY OVEN","00012459","00042965","DN#13212-EMPTY","","","12/05/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043132","00043132","DN#13148","00011220","","16/05/2025","TANDOOR THE CLAY OVEN",1306.16,170.37,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043134","00043134","DN#13148-EMPTY","","","16/05/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Crd Note",3,"TAN002","TANDOOR THE CLAY OVEN","00012516","00043134","DN#13148-EMPTY","","","19/05/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043333","00043333","DN#12262","","","24/05/2025","TANDOOR THE CLAY OVEN",2650.73,345.75,"00",0.00,"Y"
