"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Crd Note",2,"TAN002","00012186","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00041893","04/04/2025",-1.00,1050.0000,1050.0000,"DN#12835-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042018","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","04/04/2025",2.00,1050.0000,1050.0000,"DN#13000-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012204","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042018","07/04/2025",-2.00,1050.0000,1050.0000,"DN#13000-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042250","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","14/04/2025",1.00,1050.0000,1050.0000,"DN#13061-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012271","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042250","14/04/2025",-1.00,1050.0000,1050.0000,"DN#13061-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042316","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","16/04/2025",1.00,1050.0000,1050.0000,"DN#13075-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012298","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042316","17/04/2025",-1.00,1050.0000,1050.0000,"DN#13075-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042428","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","22/04/2025",2.00,1050.0000,1050.0000,"DN#13152-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012321","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042428","22/04/2025",-2.00,1050.0000,1050.0000,"DN#13152-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042575","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","26/04/2025",1.00,1050.0000,1050.0000,"DN#13167-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012360","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042575","29/04/2025",-1.00,1050.0000,1050.0000,"DN#13167-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042751","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","03/05/2025",1.00,1050.0000,1050.0000,"DN#13184- EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012393","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042751","03/05/2025",-1.00,1050.0000,1050.0000,"DN#13184- EMPTY","002","SHARMIN","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042840","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","06/05/2025",2.00,1050.0000,1050.0000,"DN#12061-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012426","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042840","06/05/2025",-2.00,1050.0000,1050.0000,"DN#12061-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042017","S.4","48KG SV LPG- PACKED","SV","LPG","","00010934","04/04/2025",2.00,1164.1600,1055.7475,"DN#3000","002","LOUIS","01","",0.0000,0.0000,1,349.25,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042249","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011008","14/04/2025",1.00,1135.7900,1062.4211,"DN#13061","002","TIFFANY","01","",0.0000,0.0000,1,170.37,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042315","S01","48KG SINGLE VALVE PACKED","SV","LPG","","","16/04/2025",1.00,1135.7900,1062.4211,"DN#13075","002","LOUIS","01","",0.0000,0.0000,1,170.37,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042427","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011051","22/04/2025",2.00,1135.7900,1036.7770,"DN#13152","002","LOUIS","01","",0.0000,0.0000,1,340.74,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042574","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011073","26/04/2025",1.00,1135.7900,1034.8693,"DN#13167","002","TIFFANY","01","",0.0000,0.0000,1,170.37,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042750","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011131","03/05/2025",1.00,1135.7900,1034.7884,"DN#13184","002","LOUIS","01","",0.0000,0.0000,1,170.37,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042839","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011149","06/05/2025",2.00,1135.7900,1034.6628,"DN#12061","002","LOUIS","01","",0.0000,0.0000,1,340.74,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043365","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","","26/05/2025",1.00,600.0000,600.0000,"DN#12263-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043702","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","","07/06/2025",1.00,600.0000,600.0000,"DN#12497-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",3,"TAN002","00012661","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00043702","09/06/2025",-1.00,600.0000,600.0000,"DN#12497-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043353","1901","19KG LPG PACKED","19K","LPG","","00011288","24/05/2025",1.00,456.1900,415.2304,"DN#12263","002","TIFFANY","01","",0.0000,0.0000,1,68.43,"","",513.0435,513.0435,513.0435,513.0435,513.0435,513.0435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043701","1901","19KG LPG PACKED","19K","LPG","","","07/06/2025",1.00,456.1900,412.0273,"DN#12497","002","TIFFANY","01","",0.0000,0.0000,1,68.43,"","",513.0435,513.0435,513.0435,513.0435,513.0435,513.0435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
